source,dataset,method,precision_pct,recall_pct,f1_pct,time_s
SMD,machine-2-6,MTGFlow,90.3,83.8,86.9,171
SMD,machine-2-6,GCAD,94.2,89.3,91.7,141
SMD,machine-2-6,STAMP,64.3,57,60.4,34
SMD,machine-2-6,DAMP,65.1,56.3,60.4,48
SMD,machine-2-6,Ours,99,97.2,98.1,114
SMD,machine-2-7,k-means,68.4,64.1,66.2,16
SMD,machine-2-7,OCSVM,59.2,52.8,55.8,16
SMD,machine-2-7,MAD-GAN,84.1,74.8,79.2,22
SMD,machine-2-7,OmniAnomaly,91.5,83.3,87.2,159
SMD,machine-2-7,USAD,96.8,91.7,94.2,78
SMD,machine-2-7,GDN,76.2,68.1,71.9,24
SMD,machine-2-7,AT,96.9,91.3,94,207
SMD,machine-2-7,TranAD,83,72.9,77.6,19
SMD,machine-2-7,FuSAGNet,91.5,83.8,87.5,374
SMD,machine-2-7,MTGFlow,94.6,89.7,92.1,183
SMD,machine-2-7,GCAD,91.6,85.2,88.3,131
SMD,machine-2-7,STAMP,61.2,54,57.4,43
SMD,machine-2-7,DAMP,75.2,68,71.4,51
SMD,machine-2-7,Ours,96.1,92.8,94.4,133
SMD,machine-2-8,k-means,57.2,52.6,54.8,15
SMD,machine-2-8,OCSVM,63.1,55.9,59.3,13
SMD,machine-2-8,MAD-GAN,89.2,81.2,85,25
SMD,machine-2-8,OmniAnomaly,87.1,77.5,82,173
SMD,machine-2-8,USAD,94.8,91.3,93,72
SMD,machine-2-8,GDN,79.3,70.6,74.7,22
SMD,machine-2-8,AT,97.3,93.4,95.3,232
SMD,machine-2-8,TranAD,85.8,75.3,80.2,24
SMD,machine-2-8,FuSAGNet,82.8,74.8,78.6,421
SMD,machine-2-8,MTGFlow,87.9,79.5,83.5,176
SMD,machine-2-8,GCAD,96,92.5,94.2,137
SMD,machine-2-8,STAMP,69,61.8,65.2,39
SMD,machine-2-8,DAMP,63.9,56.2,59.8,42
SMD,machine-2-8,Ours,98.6,97,97.8,118
SMD,machine-2-9,k-means,64.8,58.3,61.4,13
SMD,machine-2-9,OCSVM,60.7,54.8,57.6,15
SMD,machine-2-9,MAD-GAN,86.2,79.5,82.7,23
SMD,machine-2-9,OmniAnomaly,90.6,81.3,85.7,186
SMD,machine-2-9,USAD,97.5,92.4,94.9,83
SMD,machine-2-9,GDN,84.1,76.7,80.2,26
SMD,machine-2-9,AT,95.1,90,92.5,220
SMD,machine-2-9,TranAD,78.9,69.7,74,20
SMD,machine-2-9,FuSAGNet,87.7,79.1,83.2,396
SMD,machine-2-9,MTGFlow,92.7,87.1,89.8,188
SMD,machine-2-9,GCAD,93.8,88.2,90.9,123
SMD,machine-2-9,STAMP,66.4,59.6,62.8,37
SMD,machine-2-9,DAMP,71.7,63.2,67.2,49
SMD,machine-2-9,Ours,97.8,95.6,96.7,126
SMD,machine-3-1,k-means,60.5,57.4,58.9,14
SMD,machine-3-1,OCSVM,65.3,59.8,62.4,14
SMD,machine-3-1,MAD-GAN,92.4,86,89.1,20
SMD,machine-3-1,OmniAnomaly,86.9,80.4,83.5,164
SMD,machine-3-1,USAD,96.2,91.5,93.8,69
SMD,machine-3-1,GDN,78.1,69.6,73.6,21
SMD,machine-3-1,AT,96.8,93.1,94.9,198
SMD,machine-3-1,TranAD,88.5,80.9,84.5,17
SMD,machine-3-1,FuSAGNet,92.1,86.7,89.3,439
SMD,machine-3-1,MTGFlow,96.1,92.2,94.1,159
SMD,machine-3-1,GCAD,95.3,90.4,92.8,145
SMD,machine-3-1,STAMP,59.1,51.3,54.9,45
SMD,machine-3-1,DAMP,66.4,59,62.5,45
SMD,machine-3-1,Ours,99,97.6,98.3,109
SMD,machine-3-10,k-means,63.1,57.9,60.4,17
SMD,machine-3-10,OCSVM,60.2,53.9,56.9,12
SMD,machine-3-10,MAD-GAN,85.8,79.3,82.4,24
SMD,machine-3-10,OmniAnomaly,92.1,85.4,88.6,179
SMD,machine-3-10,USAD,96.9,91.8,94.3,76
SMD,machine-3-10,GDN,81.5,73.9,77.5,23
SMD,machine-3-10,AT,96.6,91.8,94.2,226
SMD,machine-3-10,TranAD,82.3,75,78.5,22
SMD,machine-3-10,FuSAGNet,81.4,73.1,77,411
SMD,machine-3-10,MTGFlow,84.7,77.1,80.7,179
SMD,machine-3-10,GCAD,96.4,91.2,93.7,130
SMD,machine-3-10,STAMP,70.1,64.7,67.3,40
SMD,machine-3-10,DAMP,73.6,64.8,68.9,54
SMD,machine-3-10,Ours,97.2,93.3,95.2,130
SMD,machine-3-11,k-means,58.8,54.2,56.4,15
SMD,machine-3-11,OCSVM,62.4,56.1,59.1,15
SMD,machine-3-11,MAD-GAN,90.5,81.6,85.8,22
SMD,machine-3-11,OmniAnomaly,89.7,80.8,85,170
SMD,machine-3-11,USAD,97.4,92.9,95.1,73
SMD,machine-3-11,GDN,74.2,65.9,69.8,20
SMD,machine-3-11,AT,95.4,91.9,93.6,214
SMD,machine-3-11,TranAD,85.7,77.7,81.5,19
SMD,machine-3-11,FuSAGNet,89.3,81.8,85.4,383
